attack,model,domain,label,mtld,sent_cv,self_mention_density,opener_ratio,connector_density,hedge_density,mean_sent_len,boost_density,char_entropy,rep_rate,punct_entropy,n_words,n_sents
none,human,abstracts,0,80.1590133416072,0.3750736889050517,4.761904761904763,0.0,0.0,0.0,8.75,0.0,9.219031760985402,0.16216216216216217,2.087121192473552,210,24
none,human,abstracts,0,149.0,0.462162289951324,26.845637583892618,0.047619047619047616,13.422818791946309,0.0,7.095238095238095,0.0,8.972717844034001,0.16470588235294117,1.7449047091342313,149,21
none,human,abstracts,0,82.30752916224816,0.465486085633467,26.785714285714285,0.0,0.0,0.0,8.615384615384615,0.0,9.003797828419287,0.30392156862745096,1.5782431388871618,224,26
none,human,abstracts,0,91.72746042670337,0.46343328340038903,32.14285714285714,0.0,0.0,0.0,8.484848484848484,0.0,9.405899561135135,0.23357664233576642,2.1848336354826,280,33
none,human,abstracts,0,69.66929133858268,0.47832173507447334,16.877637130801688,0.07142857142857142,12.658227848101266,0.0,8.464285714285714,8.438818565400844,9.009447190150444,0.2727272727272727,1.611102921305349,237,28
none,human,abstracts,0,91.80327868852459,0.5453439281774393,35.0,0.0,5.0,0.0,7.6923076923076925,0.0,8.991034357178275,0.24468085106382978,1.876654497859216,200,26
none,human,abstracts,0,84.25917038052793,0.4876393904183363,23.923444976076556,0.07142857142857142,19.138755980861244,4.784688995215311,7.464285714285714,0.0,8.915306123808934,0.23148148148148148,1.9757025846709093,209,28
none,human,abstracts,0,107.30435764280877,0.4384058344111559,37.73584905660377,0.0,0.0,0.0,7.95,0.0,9.093443618758934,0.18478260869565216,2.421048772263534,159,20
none,human,abstracts,0,64.33333333333333,0.4037130678931299,36.269430051813465,0.041666666666666664,10.362694300518134,5.181347150259067,8.041666666666666,0.0,8.741512303250357,0.2261904761904762,1.5801454700463617,193,24
none,human,abstracts,0,106.36636636636636,0.4948888095698155,26.08695652173913,0.0625,13.043478260869565,0.0,7.1875,0.0,9.250184531246523,0.2222222222222222,1.8151856541840292,230,32
none,human,abstracts,0,144.7019667170953,0.3960523647057285,27.3224043715847,0.0,5.46448087431694,0.0,8.318181818181818,0.0,9.142822505108663,0.12264150943396226,2.6241789886273206,183,22
none,human,abstracts,0,99.08083726646359,0.5535872444611917,32.786885245901644,0.041666666666666664,5.46448087431694,0.0,7.625,0.0,9.081490130459699,0.2,2.1721080498885814,183,24
none,human,abstracts,0,82.52830188679245,0.5362915217030488,43.20987654320987,0.045454545454545456,6.172839506172839,6.172839506172839,7.363636363636363,0.0,8.828281575342038,0.30666666666666664,1.7345216647797512,162,22
none,human,abstracts,0,130.82937685459942,0.46716033093560155,13.574660633484163,0.03571428571428571,4.524886877828055,0.0,7.892857142857143,4.524886877828055,9.299622755406597,0.21487603305785125,2.013015543338297,221,28
none,human,abstracts,0,80.5113928759649,0.45394738887067826,32.0855614973262,0.04,16.0427807486631,0.0,7.48,0.0,8.959720448918047,0.22340425531914893,1.9280980912618826,187,25
none,human,abstracts,0,75.93910329603409,0.4523716339266198,36.58536585365854,0.05555555555555555,12.195121951219512,0.0,9.11111111111111,0.0,8.981187936413065,0.2692307692307692,2.408549096875309,164,18
none,human,abstracts,0,99.53310110350934,0.5517568790368769,32.11009174311927,0.07142857142857142,9.174311926605505,9.174311926605505,7.785714285714286,0.0,9.2188624217791,0.22321428571428573,2.1354886238532282,218,28
none,human,abstracts,0,144.3675330492609,0.4892292996991617,20.61855670103093,0.07692307692307693,20.61855670103093,5.154639175257732,7.461538461538462,0.0,9.18681150189595,0.11016949152542373,1.9988578800590968,194,26
none,human,abstracts,0,107.54496747034062,0.4812401599734584,19.35483870967742,0.14285714285714285,19.35483870967742,0.0,7.380952380952381,0.0,8.975900043097484,0.21739130434782608,2.010360419811954,155,21
none,human,abstracts,0,108.51245551601423,0.5029581628247057,5.347593582887701,0.0,5.347593582887701,0.0,8.130434782608695,0.0,9.193823180181125,0.16831683168316833,1.7118732434984902,187,23
none,human,abstracts,0,182.25000000000003,0.4030746032714901,14.814814814814815,0.0,0.0,7.407407407407407,7.5,0.0,9.050578142778294,0.14444444444444443,2.2089873002588,135,18
none,human,abstracts,0,117.40981923452387,0.45300830717343465,12.875536480686696,0.06666666666666667,8.583690987124463,0.0,7.766666666666667,0.0,9.31284660965199,0.14388489208633093,2.016942907689862,233,30
none,human,abstracts,0,101.71242573798908,0.468465003452189,10.81081081081081,0.0,0.0,5.405405405405405,7.708333333333333,0.0,8.986125855138384,0.17391304347826086,1.4108478748063633,185,24
none,human,abstracts,0,78.10134406670022,0.42515646236734,5.1020408163265305,0.0,5.1020408163265305,0.0,8.166666666666666,0.0,8.987310036281338,0.2604166666666667,2.216429684474719,196,24
